curso,turno,semestre,ano,1° C,2° C,3° C,4° C,5° C,6° C
Análise e Desenvolvimento de Sistemas,Manhã,1,2019,10.0,12.0,3.0,0.0,3.0,5.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2019,8.0,12.0,1.0,0.0,1.0,6.0
Análise e Desenvolvimento de Sistemas,Manhã,1,2020,6.0,8.0,2.0,0.0,1.0,3.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2020,8.0,8.0,2.0,0.0,2.0,4.0
Análise e Desenvolvimento de Sistemas,Manhã,1,2021,10.0,14.0,2.0,0.0,0.0,5.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2021,5.0,8.0,2.0,0.0,0.0,2.0
Análise e Desenvolvimento de Sistemas,Manhã,1,2022,10.0,7.0,4.0,0.0,2.0,4.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2022,3.0,13.0,8.0,0.0,2.0,7.0
Análise e Desenvolvimento de Sistemas,Manhã,1,2023,6.0,4.0,3.0,0.0,2.0,3.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2023,0.0,10.0,6.0,0.0,2.0,2.0
Análise e Desenvolvimento de Sistemas,Manhã,1,2024,4.0,7.0,1.0,0.0,0.0,5.0
Análise e Desenvolvimento de Sistemas,Manhã,2,2024,2.0,6.0,2.0,0.0,2.0,3.0
Análise e Desenvolvimento de Sistemas,Noite,1,2019,3.0,5.0,9.0,0.0,4.0,6.0
Análise e Desenvolvimento de Sistemas,Noite,2,2019,7.0,9.0,6.0,0.0,2.0,6.0
Análise e Desenvolvimento de Sistemas,Noite,1,2020,5.0,7.0,6.0,0.0,2.0,3.0
Análise e Desenvolvimento de Sistemas,Noite,2,2020,14.0,6.0,4.0,0.0,1.0,5.0
Análise e Desenvolvimento de Sistemas,Noite,1,2021,15.0,2.0,3.0,0.0,3.0,2.0
Análise e Desenvolvimento de Sistemas,Noite,2,2021,10.0,6.0,4.0,0.0,3.0,5.0
Análise e Desenvolvimento de Sistemas,Noite,1,2022,7.0,8.0,5.0,0.0,3.0,2.0
Análise e Desenvolvimento de Sistemas,Noite,2,2022,5.0,5.0,2.0,0.0,7.0,7.0
Análise e Desenvolvimento de Sistemas,Noite,1,2023,4.0,2.0,7.0,0.0,0.0,6.0
Análise e Desenvolvimento de Sistemas,Noite,2,2023,2.0,2.0,5.0,0.0,1.0,4.0
Análise e Desenvolvimento de Sistemas,Noite,1,2024,7.0,2.0,6.0,0.0,2.0,8.0
Análise e Desenvolvimento de Sistemas,Noite,2,2024,4.0,4.0,2.0,0.0,2.0,3.0
Ciência de Dados,Manhã,2,2021,11.0,0.0,0.0,0.0,0.0,0.0
Ciência de Dados,Manhã,1,2022,7.0,1.0,0.0,0.0,0.0,0.0
Ciência de Dados,Manhã,2,2022,4.0,2.0,0.0,0.0,0.0,0.0
Ciência de Dados,Manhã,1,2023,7.0,9.0,1.0,0.0,0.0,0.0
Ciência de Dados,Manhã,2,2023,8.0,10.0,1.0,0.0,0.0,0.0
Ciência de Dados,Manhã,1,2024,7.0,4.0,6.0,0.0,0.0,0.0
Ciência de Dados,Manhã,2,2024,4.0,5.0,4.0,0.0,0.0,0.0
Gestão Empresarial,EaD,1,2019,4.0,9.0,1.0,0.0,1.0,0.0
Gestão Empresarial,EaD,2,2019,1.0,4.0,2.0,0.0,0.0,3.0
Gestão Empresarial,EaD,1,2020,2.0,1.0,2.0,0.0,1.0,3.0
Gestão Empresarial,EaD,2,2020,0.0,1.0,1.0,0.0,0.0,3.0
Gestão Empresarial,EaD,1,2021,8.0,1.0,1.0,0.0,1.0,3.0
Gestão Empresarial,EaD,2,2021,10.0,4.0,1.0,0.0,0.0,4.0
Gestão Empresarial,EaD,1,2022,7.0,1.0,0.0,0.0,0.0,2.0
Gestão Empresarial,EaD,2,2022,8.0,7.0,6.0,0.0,0.0,3.0
Gestão Empresarial,EaD,1,2023,12.0,7.0,10.0,0.0,0.0,0.0
