Carimbo de data/hora,Data Nascimento:,Curso:,Período:,Motivo pela escolha da Fatec (esta questão admite mais de uma resposta):,Motivo da escolha do curso (esta questão admite mais de uma resposta):,Tempo decorrido da conclusão do ensino médio:,Formado em escola:        ,"Você trabalha?  ( A empregabilidade, principalmente se relacionada ao curso, pode motivá-lo(a) para o programa.) ","Se positivo, favor informar: 
Nome da empresa:","Se positivo, favor informar: Cargo ocupado:",O cargo ocupado é compatível com o curso que você acaba de se matricular?,"(a renda pessoal ou familiar pode reduzir a necessidade por outros trabalhos, sem riscos para o seu curso)
Número de salários-mínimos que recebe:",Espaço para suas considerações 
3/12/2025,12/4/1995,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por orientação familiar",Pelo nome do curso,12,Particular,Não,,,Não,2 salários mínimos,
3/12/2025,12/13/2005,Gestão Empresarial,Diurno,"Por orientação familiar, Por ser o curso que deseja, Por ser Instituição Pública","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",2 anos,Pública,Sim,RS Marketing ,Sou dono,Sim,5 salários mínimos ,
3/12/2025,2/7/2003,Gestão Empresarial,Diurno,Pela qualidade da Instituição,Por ter conhecimento e afinidade com a carreira,5 anos,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,6/11/2006,Gestão Empresarial,Diurno,Por ter amigos na escola,Por informações de alunos da Fatec,1 anos,Pública,Sim,,,Sim,,Legal
3/12/2025,4/25/1997,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública, Pela Instituição ficar perto de onde você mora","Por orientação familiar, Por ter conhecimento e afinidade com a carreira",10,Pública,Sim,GRUPO MENDES,Operador,Não,1 salário mínimo,
3/12/2025,11/26/1987,Gestão Empresarial,Diurno,Por ser o curso que deseja,Por ter conhecimento e afinidade com a carreira,6 anos,Pública,Não,,,Não,2 salários mínimos,
3/12/2025,8/12/2005,Gestão Empresarial,Diurno,Pela qualidade da Instituição,Por orientação familiar,2 anos,Pública,Não,,,,,
3/12/2025,1/10/1982,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser Instituição Pública","Por ter conhecimento e afinidade com a carreira, Por informações de alunos da Fatec",1999,Pública,Sim,Citrosuco Agroindústria ,Operador de Produção ll,Não,3 salários mínimos,
3/12/2025,2/1/1999,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja","Pelo nome do curso, Devido ao menor tempo de curso",9 anos,Pública,Sim,Hospital do vicentino,Estagiária - setor administrativo ,Sim,1 salário mínimo,
3/12/2025,7/18/1986,Gestão Empresarial,Diurno,"Pela qualidade da Instituição, Por ser o curso que deseja, Por ser Instituição Pública","Por trabalhar na área, Por ter conhecimento e afinidade com a carreira",21 anos,Pública,Sim,Ornelas Assistente virtual e assessoria de negócios ,Ceo,Sim,2 salários mínimos,
3/12/2025,7/4/2006,Gestão Empresarial,Diurno,Por ter amigos na escola,Por orientação familiar,1 anos,Particular,Não,,,,,
