CURSO,TURNO,1° SEMESTRE DE 2019,,,,,,2° SEMESTRE DE 2019,,,,,,1° SEMESTRE DE 2020,,,,,,2° SEMESTRE DE 2020,,,,,,1° SEMESTRE DE 2021,,,,,,2° SEMESTRE DE 2021,,,,,,1° SEMESTRE DE 2022,,,,,,2° SEMESTRE DE 2022,,,,,,1° SEMESTRE DE 2023,,,,,,2° SEMESTRE DE 2023,,,,,,1° SEMESTRE DE 2024,,,,,,2° SEMESTRE DE 2024,,,,,,Total
,,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,1° C,2° C,3° C,4°C,5° C,6° C,
Análise e Desenvolvimento de Sistemas,Manhã,10,12,3,0,3,5,8,12,1,1,1,6,6,8,2,0,1,3,8,8,2,2,2,4,10,14,2,0,0,5,5,8,2,2,0,2,10,7,4,4,2,4,3,13,8,2,2,7,6,4,3,2,2,3,0,10,6,1,2,2,4,7,1,1,0,5,2,6,2,2,2,3,300
Análise e Desenvolvimento de Sistemas,Noite,3,5,9,3,4,6,7,9,6,6,2,6,5,7,6,4,2,3,14,6,4,6,1,5,15,2,3,2,3,2,10,6,4,7,3,5,7,8,5,5,3,2,5,5,2,2,7,7,4,2,7,3,0,6,2,2,5,4,1,4,7,2,6,5,2,8,4,4,2,5,2,3,339
Ciência de Dados,Manhã,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,0,0,0,0,0,7,1,0,0,0,0,4,2,0,0,0,0,7,9,1,0,0,0,8,10,1,1,0,0,7,4,6,1,0,0,4,5,4,3,0,0,96
Gestão de Recursos Humanos,Noite,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,3,0,0,0,0,0,5,2,0,0,0,0,5,2,0,0,0,0,6,4,3,0,0,0,5,7,7,0,0,0,11,4,0,2,0,0,8,8,4,2,1,0,89
Gestão Empresarial,Manhã,8,11,4,1,2,3,13,9,4,1,1,4,11,3,1,1,1,3,10,6,1,3,1,2,14,1,1,3,0,2,14,3,2,4,0,8,3,4,3,2,3,1,13,6,2,4,4,3,10,4,2,3,2,6,9,5,2,1,3,6,5,3,1,1,3,4,9,2,3,2,0,4,294
Gestão Empresarial,EaD,4,9,1,1,1,0,1,4,2,1,0,3,2,1,2,0,1,3,0,1,1,2,0,3,8,1,1,0,1,3,10,4,1,0,0,4,7,1,0,1,0,2,8,7,6,0,0,3,12,7,10,1,0,0,17,4,2,2,1,0,19,7,2,0,0,1,21,8,3,1,3,4,236
Gestão Portuária,Manhã,12,3,6,9,1,4,3,2,3,7,3,6,14,3,3,2,0,0,18,4,3,3,2,0,12,7,3,1,2,4,12,6,6,3,3,4,14,3,5,6,6,1,10,9,11,4,10,6,5,4,5,2,1,3,3,6,1,0,2,5,14,5,3,1,0,3,17,11,5,0,1,2,358
Gestão Portuária,Noite,5,1,0,2,0,0,8,4,1,1,0,0,2,3,1,2,1,0,20,0,0,1,0,0,15,4,2,4,0,0,15,5,6,0,2,0,7,4,2,4,3,0,6,11,11,6,5,2,3,6,6,4,2,4,6,3,6,5,6,6,1,3,7,4,2,1,6,8,2,0,1,3,261
Logística,Manhã,6,3,1,1,5,0,5,1,0,0,3,1,6,5,1,0,1,0,16,3,1,0,3,1,11,3,1,0,2,1,13,1,2,2,2,1,15,2,2,0,2,4,14,4,5,5,0,1,6,8,4,5,1,3,3,4,4,0,2,2,9,3,3,2,1,4,12,7,4,1,3,1,248
Logística,Noite,13,4,4,1,1,6,5,5,12,0,2,6,13,2,5,3,2,7,11,6,5,2,4,0,16,5,4,7,3,7,6,7,2,4,4,7,8,2,5,1,5,7,6,7,6,5,6,17,11,6,8,2,3,6,6,3,2,3,3,4,9,3,3,0,2,7,7,6,1,1,4,6,372
Sistemas para Internet,Manhã,8,10,3,1,0,0,7,6,2,0,0,1,9,8,7,1,1,0,7,3,3,7,0,0,7,6,5,4,2,3,5,3,2,2,1,3,6,9,2,1,1,0,10,18,3,2,2,7,1,8,5,5,2,1,6,5,1,1,3,3,1,2,4,2,4,10,6,5,5,3,3,12,286
Logística - AMS,Tarde,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,10,null,null,null,null,null,null,null,null,null,null,null,3,null,null,null,null,null,13
Processos Gerenciais - AMS,Tarde,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,null,11,null,null,null,null,null,null,null,null,null,null,null,6,1,null,null,null,null,18
